"Data Source","World Development Indicators",

"Last Updated Date","2022-02-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Iceland","ISL","Land area (sq. km)","AG.LND.TOTL.K2","","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100830","100830","100830",
"Israel","ISR","Land area (sq. km)","AG.LND.TOTL.K2","","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640",
"Italy","ITA","Land area (sq. km)","AG.LND.TOTL.K2","","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294140","294140","294140","294140","294140","294140","294140","294140","294140","294140","294140","294140","294140","294140","294140","297730","297730","297730",
"Jamaica","JAM","Land area (sq. km)","AG.LND.TOTL.K2","","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830",
"Jordan","JOR","Land area (sq. km)","AG.LND.TOTL.K2","","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88780","88780","88780","88780","88780","88780","88780","88780","88780","88780","88780","88780",
"Japan","JPN","Land area (sq. km)","AG.LND.TOTL.K2","","366700","366700","366700","366700","366700","366700","366700","366700","366700","366700","366700","366600","366600","366600","366500","366500","366400","366400","366400","366300","366400","366200","366200","364700","364600","364700","364600","364600","364600","364600","364600","364600","364600","364600","364600","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500",
"Kazakhstan","KAZ","Land area (sq. km)","AG.LND.TOTL.K2","","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700",
"Kenya","KEN","Land area (sq. km)","AG.LND.TOTL.K2","","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140",
"Kyrgyz Republic","KGZ","Land area (sq. km)","AG.LND.TOTL.K2","","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800",
"Cambodia","KHM","Land area (sq. km)","AG.LND.TOTL.K2","","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520",
"Kiribati","KIR","Land area (sq. km)","AG.LND.TOTL.K2","","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810",
"St. Kitts and Nevis","KNA","Land area (sq. km)","AG.LND.TOTL.K2","","350","350","350","350","350","350","350","350","350","350","350","350","350","350","350","350","350","350","350","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260",
"Korea, Rep.","KOR","Land area (sq. km)","AG.LND.TOTL.K2","","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96740","96790","96800","96820","96850","96880","96920","96990","97060","97200","97190","97310","97426","97430","97445","97489","97510","97520","97520","97520",
"Kuwait","KWT","Land area (sq. km)","AG.LND.TOTL.K2","","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820",
"Latin America & Caribbean (excluding high income)","LAC","Land area (sq. km)","AG.LND.TOTL.K2","","18243070","18243070","18243070","18243070","18243070","18243070","18243070","18243070","18243070","18243070","18243070","18243070","18243070","18243070","18243210","18243080","18243080","18243080","18243080","18243080","18243080","18243080","18243080","18243080","18243080","18243080","18243080","18243080","18243080","18243080","18243080","18243080","18243080","18243080","18243080","18243080","18243080","18214600","18214600","18214600","18214600","18213590","18213600","18213610","18213640","18213630","18213640","18213640","18213640","18213640","18214063","18213849","18211420","18211000","18211080","18211020","18210780","18210837","18210837","18210837",
"Lao PDR","LAO","Land area (sq. km)","AG.LND.TOTL.K2","","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800",
"Lebanon","LBN","Land area (sq. km)","AG.LND.TOTL.K2","","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230",
"Liberia","LBR","Land area (sq. km)","AG.LND.TOTL.K2","","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320",
"Libya","LBY","Land area (sq. km)","AG.LND.TOTL.K2","","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540",
"St. Lucia","LCA","Land area (sq. km)","AG.LND.TOTL.K2","","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610",
"Latin America & Caribbean","LCN","Land area (sq. km)","AG.LND.TOTL.K2","","20071304.4","20071304.4","20071304.4","20071304.4","20071304.4","20071304.4","20071304.4","20071304.4","20071304.4","20071304.4","20071304.4","20071304.4","20071304.4","20071304.4","20071444.4","20071314.4","20071314.4","20071314.4","20071314.4","20071224.4","20071224.4","20071224.4","20071224.4","20071224.4","20071224.4","20071224.4","20071224.4","20071224.4","20071224.4","20071224.4","20071224.4","20071224.4","20071224.4","20071224.4","20071224.4","20071224.4","20071224.4","20042744.4","20042744.4","20042744.4","20042744.4","20041734.4","20041744.4","20041754.4","20041784.4","20041774.4","20041784.4","20041784.4","20041784.4","20041784.4","20042203","20041989","20039560","20039140","20039220","20039160","20038920","20038977","20038977","20038977",
"Least developed countries: UN classification","LDC","Land area (sq. km)","AG.LND.TOTL.K2","","20353697.271","20353697.271","20353697.271","20353697.271","20353697.271","20353697.271","20353697.271","20353697.271","20353697.271","20353697.271","20353697.271","20353697.271","20353697.271","20353297.271","20352897.271","20352897.271","20352897.271","20352897.271","20352897.271","20352897.271","20352897.271","20352897.271","20352897.271","20352897.271","20352897.271","20352897.271","20352897.271","20352897.271","20352897.271","20352897.271","20352897.271","20352897.271","20251897.271","20244974.271","20244974.271","20244974.271","20244974.271","20244974.271","20244974.271","20245324.271","20245324.271","20245324.271","20245324.271","20372785.599","20372779.048","20372885.615","20372908.567","20372683.327","20372672.254","20373324.65","20373564.359","20373425.97","20373361.332","20373329.678","20373379.338","20373314.342","20372998.032","20372993.228","20372993.228","20372993.228",
"Low income","LIC","Land area (sq. km)","AG.LND.TOTL.K2","","14925443.271","14925443.271","14925443.271","14925443.271","14925443.271","14925443.271","14925443.271","14925443.271","14925443.271","14925443.271","14925443.271","14925443.271","14925443.271","14925043.271","14924643.271","14924643.271","14924643.271","14924643.271","14924643.271","14924643.271","14924643.271","14924643.271","14924643.271","14924643.271","14924643.271","14924643.271","14924643.271","14924643.271","14924643.271","14924643.271","14924643.271","14924643.271","14823643.271","14823643.271","14823643.271","14823643.271","14823643.271","14823643.271","14823643.271","14823643.271","14823643.271","14823643.271","14823453.271","14952697.599","14952751.048","14952807.615","14952790.567","14952775.327","14952774.254","14953456.65","14953666.359","14953667.97","14953673.332","14953641.678","14953691.338","14953599.342","14953573.032","14953572.228","14953572.228","14953572.228",
"Liechtenstein","LIE","Land area (sq. km)","AG.LND.TOTL.K2","","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160",
"Sri Lanka","LKA","Land area (sq. km)","AG.LND.TOTL.K2","","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","61893","61893","61893","61864","61864","61864",
"Lower middle income","LMC","Land area (sq. km)","AG.LND.TOTL.K2","","25540874","25540874","25540874","25540874","25540874","25540874","25540874","25540874","25540874","25540874","25540874","25540874","25540804","25540764","25540744","25540614","25540614","25540614","25540614","25540614","25540614","25540614","25540614","25540614","25540614","25540614","25540614","25540614","25540614","25540614","25541314","25541314","25541314","25534391","25534391","25534391","25534391","25534391","25534391","25520311","25520341","25519791","25519311","25517508","25517488","25517578","25517598","25517378","25517368","25517328","25517358","25517218","25517148","25515944","25534018.4","25599991.4","25599710.4","25599745","25599745","25599745",
"Low & middle income","LMY","Land area (sq. km)","AG.LND.TOTL.K2","","94095431.271","94095431.271","94095431.271","94095431.271","94095431.271","94095431.271","94095431.271","94095431.271","94095431.271","94095431.271","94095431.271","94095431.271","94095361.271","94094921.271","94094631.271","94094501.271","94094491.271","94094491.271","94094491.271","94094491.271","94094491.271","94094481.271","94094481.271","94094481.271","94094481.271","94094481.271","94094481.271","94094481.271","94093491.271","94093491.271","94094481.271","94094481.271","93989791.271","93978058.271","93975128.271","93974728.271","93975418.271","93949513.271","93956336.271","93935066.271","93934195.471","93931469.471","93930922.971","94058675.099","94058775.848","94055299.615","94054994.567","94053897.327","94051391.754","94052098.35","94052893.259","94052400.87","94049744.632","94048207.978","94066417.138","94132254.242","94131711.232","94120894.428","94120894.428","94120894.428",
"Lesotho","LSO","Land area (sq. km)","AG.LND.TOTL.K2","","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360",
"Late-demographic dividend","LTE","Land area (sq. km)","AG.LND.TOTL.K2","","44583965","44583965","44583965","44583965","44583965","44583965","44583965","44583965","44583965","44583965","44583965","44583965","44583925","44583925","44584055","44584055","44584045","44584045","44584045","44584045","44584045","44584035","44584035","44584035","44584035","44584035","44584035","44584035","44583045","44583045","44583155","44583155","44579465","44574655","44571725","44571325","44572015","44574590","44581413","44559793","44558922.2","44559056.2","44558679.7","44559090.5","44559227.8","44555545","44555247","44554365","44554464.5","44554509.7","44554538.9","44554368.9","44555480.3","44555336.3","44558206.8","44558200.9","44558193.2","44558553.2","44558553.2","44558553.2",
"Lithuania","LTU","Land area (sq. km)","AG.LND.TOTL.K2","","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62675","62675","62675","62674","62674","62675","62650","62650","62642","62641","62630","62630","62630",
"Luxembourg","LUX","Land area (sq. km)","AG.LND.TOTL.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2430","2430","2430","2430","2430","2430","2430","2430","2430","2430","2430","2430","2430","2430","2430","2430","2430","2430","2430","2430","2430",
"Latvia","LVA","Land area (sq. km)","AG.LND.TOTL.K2","","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62180","62240","62200","62180","62190","62140","62130","62120","62110","62090","62090","62090",
"Macao SAR, China","MAC","Land area (sq. km)","AG.LND.TOTL.K2","","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","26","27","27","28","28","28.6","29.2","29.2","29.5","29.7","29.9","29.9","30.3","30.3","30.4","30.5","30.8","32.9","32.9","32.9",
"St. Martin (French part)","MAF","Land area (sq. km)","AG.LND.TOTL.K2","","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","50","50","50","50","50","50","50","50","50","50",
"Morocco","MAR","Land area (sq. km)","AG.LND.TOTL.K2","","446340","446340","446340","446340","446340","446340","446340","446340","446340","446340","446340","446340","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300",
"Monaco","MCO","Land area (sq. km)","AG.LND.TOTL.K2","","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027",
"Moldova","MDA","Land area (sq. km)","AG.LND.TOTL.K2","","32870","32870","32870","32870","32870","32870","32870","32870","32870","32870","32870","32870","32870","32870","32870","32870","32870","32870","32870","32870","32870","32870","32870","32870","32870","32870","32870","32870","32870","32870","32870","32870","32950","32940","32930","32930","32920","32910","32900","32880","32880","32880","32870","32880","32890","32890","32890","32890","32890","32850","32850","32860","32880","32880","32880","32880","32890","32885.3","32885.3","32885.3",
"Madagascar","MDG","Land area (sq. km)","AG.LND.TOTL.K2","","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581795","581795","581800","581800","581800","581800","581800","581800","581800","581800",
"Maldives","MDV","Land area (sq. km)","AG.LND.TOTL.K2","","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300",
"Middle East & North Africa","MEA","Land area (sq. km)","AG.LND.TOTL.K2","","11226270","11226270","11226270","11226270","11226270","11226270","11226270","11226270","11226270","11226270","11226270","11226270","11226230","11226230","11226230","11226230","11226230","11226230","11226230","11226230","11226230","11226230","11226230","11226230","11226230","11226230","11226230","11226230","11226230","11226230","11226230","11226250","11226250","11226250","11226250","11226250","11226250","11226250","11226250","11226250","11226250","11226250","11226070","11226060","11226070","11226130","11226150","11226160","11223650","11223642","11223647","11223650","11223458","11223339","11223347","11223348","11223349","11223349","11223349","11223349",
"Mexico","MEX","Land area (sq. km)","AG.LND.TOTL.K2","","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950",
"Marshall Islands","MHL","Land area (sq. km)","AG.LND.TOTL.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180",
"Middle income","MIC","Land area (sq. km)","AG.LND.TOTL.K2","","79169988","79169988","79169988","79169988","79169988","79169988","79169988","79169988","79169988","79169988","79169988","79169988","79169918","79169878","79169988","79169858","79169848","79169848","79169848","79169848","79169848","79169838","79169838","79169838","79169838","79169838","79169838","79169838","79168848","79168848","79169838","79169838","79166148","79154415","79151485","79151085","79151775","79125870","79132693","79111423","79110552.2","79107826.2","79107469.7","79105977.5","79106024.8","79102492","79102204","79101122","79098617.5","79098641.7","79099226.9","79098732.9","79096071.3","79094566.3","79112725.8","79178654.9","79178138.2","79167322.2","79167322.2","79167322.2",
"North Macedonia","MKD","Land area (sq. km)","AG.LND.TOTL.K2","","25430","25430","25430","25430","25430","25430","25430","25430","25430","25430","25430","25430","25430","25430","25430","25430","25430","25430","25430","25430","25430","25430","25430","25430","25430","25430","25430","25430","25430","25430","25430","25430","25430","25430","25430","25430","25430","25430","25430","25430","25430","25430","25430","25430","25430","25430","25230","25230","25220","25220","25220","25220","25220","25220","25220","25220","25220","25220","25220","25220",
"Mali","MLI","Land area (sq. km)","AG.LND.TOTL.K2","","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190","1220190",
"Malta","MLT","Land area (sq. km)","AG.LND.TOTL.K2","","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320",
"Myanmar","MMR","Land area (sq. km)","AG.LND.TOTL.K2","","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653540","653420","653360","653470","653520","653310","653300","653260","653290","653150","653080","653080","653080","653080","652790","652790","652790","652790",
"Middle East & North Africa (excluding high income)","MNA","Land area (sq. km)","AG.LND.TOTL.K2","","8643980","8643980","8643980","8643980","8643980","8643980","8643980","8643980","8643980","8643980","8643980","8643980","8643940","8643940","8643940","8643940","8643940","8643940","8643940","8643940","8643940","8643940","8643940","8643940","8643940","8643940","8643940","8643940","8643940","8643940","8643940","8643940","8643940","8643940","8643940","8643940","8643940","8643940","8643940","8643940","8643940","8643940","8643750","8643730","8643730","8643790","8643800","8643800","8641290","8641280","8641280","8641280","8641088","8641088","8641089","8641089","8641089","8641089","8641089","8641089",
"Montenegro","MNE","Land area (sq. km)","AG.LND.TOTL.K2","","13450","13450","13450","13450","13450","13450","13450","13450","13450","13450","13450","13450","13450","13450","13450","13450","13450","13450","13450","13450","13450","13450","13450","13450","13450","13450","13450","13450","13450","13450","13450","13450","13450","13450","13450","13450","13450","13450","13450","13450","13450","13450","13450","13450","13450","13450","13450","13450","13450","13450","13450","13450","13450","13450","13450","13450","13450","13450","13450","13450",
"Mongolia","MNG","Land area (sq. km)","AG.LND.TOTL.K2","","1553560","1553560","1553560","1553560","1553560","1553560","1553560","1553560","1553560","1553560","1553560","1553560","1553560","1553560","1553560","1553560","1553560","1553560","1553560","1553560","1553560","1553560","1553560","1553560","1553560","1553560","1553560","1553560","1553560","1553560","1553560","1553560","1553560","1553560","1553560","1553560","1553560","1553560","1553560","1553560","1553560","1553560","1553560","1553560","1553560","1553560","1553560","1553560","1553560","1553560","1553560","1553560","1553560","1553560","1557255.4","1557255.4","1557255.4","1557255","1557255","1557255",
"Northern Mariana Islands","MNP","Land area (sq. km)","AG.LND.TOTL.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","460","460","460","460","460","460","460","460","460","460","460","460","460","460","460","460","460","460","460","460","460","460","460","460","460","460","460","460","460","460",
"Mozambique","MOZ","Land area (sq. km)","AG.LND.TOTL.K2","","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380","786380",
"Mauritania","MRT","Land area (sq. km)","AG.LND.TOTL.K2","","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700",
"Mauritius","MUS","Land area (sq. km)","AG.LND.TOTL.K2","","2030","2030","2030","2030","2030","2030","2030","2030","2030","2030","2030","2030","2030","2030","2030","2030","2030","2030","2030","2030","2030","2030","2030","2030","2030","2030","2030","2030","2030","2030","2030","2030","2030","2030","2030","2030","2030","2030","2030","2030","2030","2030","2030","2030","2030","2030","2030","2030","2030","2030","2030","2030","2030","2030","2030","2030","2030","2030","2030","2030",
"Malawi","MWI","Land area (sq. km)","AG.LND.TOTL.K2","","94280","94280","94280","94280","94280","94280","94280","94280","94280","94280","94280","94280","94280","94280","94280","94280","94280","94280","94280","94280","94280","94280","94280","94280","94280","94280","94280","94280","94280","94280","94280","94280","94280","94280","94280","94280","94280","94280","94280","94280","94280","94280","94280","94280","94280","94280","94280","94280","94280","94280","94280","94280","94280","94280","94280","94280","94280","94280","94280","94280",
"Malaysia","MYS","Land area (sq. km)","AG.LND.TOTL.K2","","328550","328550","328550","328550","328550","328550","328550","328550","328550","328550","328550","328550","328550","328550","328550","328550","328550","328550","328550","328550","328550","328550","328550","328550","328550","328550","328550","328550","328550","328550","328550","328550","328550","328550","328550","328550","328550","328550","328550","328550","328550","328550","328550","328550","328550","328550","328550","328550","328550","328550","328550","328550","328550","328550","328550","328550","328550","328550","328550","328550",
"North America","NAC","Land area (sq. km)","AG.LND.TOTL.K2","","18124604","18124604","18124604","18124604","18124604","18124604","18124604","18124604","18124604","18124604","18124604","18124604","18124604","18124604","18124604","18124604","18124604","18124604","18124604","18124604","18124604","18124604","18124604","18124604","18124604","18124604","18124604","18124604","18124604","18124604","18124604","18124604","18124604","18124604","18124604","18124604","18124604","18124604","18124604","18127564","18127564","18127564","18127564","18127564","18127564","18127564","18127564","18113064","18113064","18113064","18113064","18113064","18113064","18113064","18113064","18113064","18113064","18113064","18113064","18113064",
"Namibia","NAM","Land area (sq. km)","AG.LND.TOTL.K2","","823290","823290","823290","823290","823290","823290","823290","823290","823290","823290","823290","823290","823290","823290","823290","823290","823290","823290","823290","823290","823290","823290","823290","823290","823290","823290","823290","823290","823290","823290","823290","823290","823290","823290","823290","823290","823290","823290","823290","823290","823290","823290","823290","823290","823290","823290","823290","823290","823290","823290","823290","823290","823290","823290","823290","823290","823290","823290","823290","823290",
